Name,Price,Brand,Url,Rated,Votes,Imgs,CPU,RAM,ManHinh,OCung,Card,HDH,KT&KL
Laptop Acer Swift 3 SF314-511-55QE i5 1135G7/16GB/512GB SSD/Win11,17490000,Acer,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-511-55qe-i5-1135g7,4.9,265,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681916953_acer-swift-3-sf314-511-bac-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681448154_acer-swift-3-sf314-511-bac-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681448154_acer-swift-3-sf314-511-bac-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681291910_acer-swift-3-sf314-511-bac-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681604450_acer-swift-3-sf314-511-bac-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/1/22/637784648681604450_acer-swift-3-sf314-511-bac-6.jpg']","Intel, Core i5, 1135G7","16 GB, LPDDR4X, 4266 MHz","14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, Acer ComfyView Anti-glare LED-backlit",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"15.9	x 322.8 x 212.2 mm, 1.19 kg"
"Laptop Asus TUF Gaming FX507ZE-HN093W i7 12700H/8GB/512GB/GeForce RTX 3050 Ti 4GB/15.6""FHD/Win11",26490000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507ze-hn093w-i7-12700h,4,15,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506768312073_asus-tuf-gaming-fx507-xam-6.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506772218126_asus-tuf-gaming-fx507-xam-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506773312107_asus-tuf-gaming-fx507-xam-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506772843186_asus-tuf-gaming-fx507-xam-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506768780748_asus-tuf-gaming-fx507-xam-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/3/22/637835506772686921_asus-tuf-gaming-fx507-xam-5.jpg']","Intel, Core i7, 12700H","8 GB (1 thanh 8 GB), DDR5, 4800 MHz","15.6 inch, 1920 x 1080 Pixels, IPS, 144 Hz, 250 nits, IPS",SSD 512 GB,NVIDIA GeForce RTX 3050 Ti 4 GB; Intel UHD Graphics,Windows 11,"354 x 251 x 24.9 mm, 2.2 kg"
"Laptop Lenovo ThinkPad E14 Gen 4 R5 5625U/8GB/512GB/14.0""FHD/Win 11",16990000,Lenovo,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-e14-gen-4-r5-5625u,4.5,27,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053168207164330_lenovo-thinkpad-e14-gen-4-amd-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053168206758442_lenovo-thinkpad-e14-gen-4-amd-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053168206296253_lenovo-thinkpad-e14-gen-4-amd-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053168206453730_lenovo-thinkpad-e14-gen-4-amd-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/11/29/638053168206195701_lenovo-thinkpad-e14-gen-4-amd-den-5.jpg']","AMD, Ryzen 5, 5625U","8 GB, DDR4, 3200 MHz","14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 300 nits, IPS",SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,"324 x 220.7 x 17.9, 1640 g"
"Laptop Asus Vivobook A415EA-EB1749W i3 1125G4/8GB/512GB SSD/14"" FHD/Win11",11490000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a415ea-eb1749w-i3-1125g4,4.9,251,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929963186436_asus-vivobook-a415-print-bac-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929961467547_asus-vivobook-a415-print-bac-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929959436426_asus-vivobook-a415-print-bac-5.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929959436426_asus-vivobook-a415-print-bac-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929960374015_asus-vivobook-a415-print-bac-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/8/20/637650929963967782_asus-vivobook-a415-print-bac-6.jpg']","Intel, Core i3, 1125G4","8 GB, DDR4, 3200 MHz","14.0 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 250 nits, IPS LCD",SSD 512 GB,Intel UHD Graphics,Windows 11,"17.9 x 324 x 215.6 mm, 1.4 kg"
Laptop Lenovo ThinkPad X1 Nano i5 1130G7/16GB/512GB/13”2K 450N SRGB/Win 10,39990000,Lenovo,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-nano-i5-1130g7,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/6/3/637583154413571959_lenovo-thinpad-x1-nano-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/6/3/637583154413415719_lenovo-thinpad-x1-nano-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/6/3/637583154410447555_lenovo-thinpad-x1-nano-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/6/3/637583154411228253_lenovo-thinpad-x1-nano-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2021/6/3/637583154414665696_lenovo-thinpad-x1-nano-den-5.jpg']","Intel, Core i5, 1130G7","16 GB, LPDDR4X, 4266 MHz","13.0 inch, IPS, 60 Hz, Anti-glare LED-backlit",SSD 512 GB,Intel Iris Xe Graphics,Windows 10 Pro,"290 x 167 x 25 mm, 0.92 kg"
"Laptop Asus Vivobook S433EA-AM2307W i5 1135G7/8GB/512GB/14"" FHD IPS/Win 11",14490000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s433ea-am2307w-i5-1135g7,5,53,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/13/637986638579000761_asus-vivobook-s433-den-numberpad-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/13/637986638579000761_asus-vivobook-s433-den-numberpad-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/13/637986638578844536_asus-vivobook-s433-den-numberpad-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/13/637986638579000761_asus-vivobook-s433-den-numberpad-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/9/13/637986638578063257_asus-vivobook-s433-den-numberpad-5.jpg']","Intel, Core i5, 1135G7","8 GB, DDR4, 3200 MHz","14.0 inch, FHD (1920 x 1080), IPS, 60 Hz, 250 nits, IPS LCD LED Backlit",SSD 512 GB,Intel Iris Xe Graphics,Windows 11,"32.40 x 21.30 x 1.59 ~ 1.59 cm cm, 1.4 kg"
"Laptop Asus Expertbook B5302CEA-L50916W i5 1135G7/8GB/512GB/13.3""FHD/Win 11",17990000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-expertbook-b5302cea-l50916w-i5-1135g7,4.9,32,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/26/638023821244393375_asus-expertbook-b5302-den-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/26/638023821243448508_asus-expertbook-b5302-den-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/26/638023821242301804_asus-expertbook-b5302-den-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/26/638023821244549559_asus-expertbook-b5302-den-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/10/26/638023821242971346_asus-expertbook-b5302-den-5.jpg']","Intel, Core i5, 1135G7","8 GB (1 thanh 8 GB), DDR4, 3200 MHz","13.3 inch, 1920 x 1080 Pixels, IPS, 60 Hz, 450 nits, FHD",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"309 x 210.6 x 16.9 mm, 1.13 kg"
"Laptop Lenovo Gaming Legion 5 15IAH7H i7 12700H/16GB/512GB/15.6""WQHD/RTX 3060 6GB/Win11",33990000,Lenovo,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-15iah7h-i7-12700h,4.9,49,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/23/638151671900654404_lenovo-gaming-legion-5-15iah7h-xam-dam-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109273683768082_lenovo-gaming-legion-5-15iah7h-i7-12700h-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109273684237034_lenovo-gaming-legion-5-15iah7h-i7-12700h-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/2/2/638109273686120295_lenovo-gaming-legion-5-15iah7h-i7-12700h-1.jpg']","Intel, Core i7, 12700H","16 GB (2 thanh 8 GB), DDR5, 4800 MHz","15.6 inch, 2560 x 1440 Pixels, IPS, 165 Hz, 300 nits, IPS LCD LED Backlit, True Tone",SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; Intel Iris Xe Graphics,Windows 11 Home,"358.8 x 262.35 x 19.99 mm, 2.35 kg"
"Laptop Asus Zenbook UX3402VA-KM203W i5 1340P/16GB/512GB/14"" WQXGA+/Win11",25190000,Asus,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux3402va-km203w-i5-1340p,5,1,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152793094933200_asus-zenbook-ux3402-bac-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152793094933200_asus-zenbook-ux3402-bac-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152793094297971_asus-zenbook-ux3402-bac-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152793095056758_asus-zenbook-ux3402-bac-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/3/24/638152793094620783_asus-zenbook-ux3402-bac-5.jpg']","Intel, Core i5, 1340P","16 GB, DDR5, 4800 MHz","14.0 inch, 2880 x 1800 Pixels, OLED, 90 Hz, 400 nits, OLED",SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,"313.6 x 219.8 x 16.9 mm, 1.39 kg"
Laptop Lenovo Ideapad 3 i3 1005G1/4GB/128GB/14FHD/Win 10/NK,7690000,Lenovo,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-i3-1005g1-nk,4,16,"['https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/16/637883111213094849_lenovo-ideapad-3-i3-1005g1-nk-xam-1.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/16/637883111213094849_lenovo-ideapad-3-i3-1005g1-nk-xam-2.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/16/637883111213252863_lenovo-ideapad-3-i3-1005g1-nk-xam-3.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/16/637883111213252863_lenovo-ideapad-3-i3-1005g1-nk-xam-4.jpg', 'https://images.fpt.shop/unsafe/fit-in/585x390/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2022/5/16/637883111212626141_lenovo-ideapad-3-i3-1005g1-nk-xam-5.jpg']","Intel, Core i3, 1005G1","4 GB, DDR4, 2400 MHz","14.0 inch, 1366 x 768 Pixels, TN, 60 Hz, 220 nits, LED Backlit",SSD 128 GB,Intel UHD Graphics,Windows 10 Home,"327 x 240 x 19.9 mm, 1.5 kg"
